date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:07:04	124435/124435	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2010:55:12%20GMT	https://uae.citizenshop.me/women	C:/My%20Web%20Sites/https___uae.citizenshop.me_/uae.citizenshop.me/women.html	(from https://uae.citizenshop.me/)
04:07:06	197740/197740	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2010:55:14%20GMT	https://uae.citizenshop.me/women/eco-drive	C:/My%20Web%20Sites/https___uae.citizenshop.me_/uae.citizenshop.me/women/eco-drive.html	(from https://uae.citizenshop.me/)
04:07:06	107826/107826	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Apr%202020%2005:28:23%20GMT	https://citizenshop.me/assets/images/tbl_other_images/56959-citizen-eco-drive-ladies-watches.jpg	C:/My%20Web%20Sites/https___uae.citizenshop.me_/citizenshop.me/assets/images/tbl_other_images/56959-citizen-eco-drive-ladies-watches.jpg	(from https://uae.citizenshop.me/)
04:07:07	176781/176781	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2010:55:15%20GMT	https://uae.citizenshop.me/women/citizen-l	C:/My%20Web%20Sites/https___uae.citizenshop.me_/uae.citizenshop.me/women/citizen-l.html	(from https://uae.citizenshop.me/)
04:07:07	117633/117633	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20May%202023%2012:03:04%20GMT	https://citizenshop.me/assets/images/tbl_other_images/31064-1179x599_em1060-87n.jpg	C:/My%20Web%20Sites/https___uae.citizenshop.me_/citizenshop.me/assets/images/tbl_other_images/31064-1179x599_em1060-87n.jpg	(from https://uae.citizenshop.me/)
04:07:08	171085/171085	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2010:55:16%20GMT	https://uae.citizenshop.me/women/quartz-collection	C:/My%20Web%20Sites/https___uae.citizenshop.me_/uae.citizenshop.me/women/quartz-collection.html	(from https://uae.citizenshop.me/)
04:07:08	132620/132620	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Aug%202020%2005:18:56%20GMT	https://citizenshop.me/assets/images/tbl_other_images/3bd37-88599-citizen-quarts-watches.jpg	C:/My%20Web%20Sites/https___uae.citizenshop.me_/citizenshop.me/assets/images/tbl_other_images/3bd37-88599-citizen-quarts-watches.jpg	(from https://uae.citizenshop.me/)
04:07:09	115303/115303	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2010:55:17%20GMT	https://uae.citizenshop.me/collections	C:/My%20Web%20Sites/https___uae.citizenshop.me_/uae.citizenshop.me/collections.html	(from https://uae.citizenshop.me/)
04:07:11	208079/208079	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2010:55:19%20GMT	https://uae.citizenshop.me/collections/eco-drive	C:/My%20Web%20Sites/https___uae.citizenshop.me_/uae.citizenshop.me/collections/eco-drive.html	(from https://uae.citizenshop.me/)
04:07:11	124390/124390	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Apr%202020%2006:57:41%20GMT	https://citizenshop.me/assets/images/tbl_other_images/d8433-citizen-eco-drive-watches.jpg	C:/My%20Web%20Sites/https___uae.citizenshop.me_/citizenshop.me/assets/images/tbl_other_images/d8433-citizen-eco-drive-watches.jpg	(from https://uae.citizenshop.me/)
